,user_id,item_id,interaction
0,1821,815,0
1,5046,3750,1
2,9519,1991,0
3,5430,2860,0
4,8616,832,0
5,7847,2463,1
6,8357,195,1
7,5459,2941,0
8,8846,3809,0
9,2663,1196,1
10,11213,4159,0
11,10729,467,1
12,512,3374,0
13,1208,4044,1
14,486,102,1
15,10521,423,1
16,3402,2573,1
17,11533,1257,0
18,3452,984,1
19,2673,1740,0
20,11851,2144,1
21,9256,665,0
22,414,31,1
23,2299,326,1
24,8435,3861,1
25,9604,3757,0
26,444,929,1
27,2726,3825,0
28,5268,3237,0
29,8832,334,1
30,4828,2055,0
31,5411,3411,0
32,2819,105,1
33,1590,1876,0
34,5414,3359,0
35,3337,3526,0
36,552,1612,1
37,4341,720,1
38,7439,582,1
39,10453,2080,0
40,10999,172,0
41,2742,2066,0
42,5198,995,0
43,3560,3354,1
44,6732,3191,1
45,4363,719,1
46,11319,118,1
47,3050,4030,0
48,5710,3133,0
49,5555,1591,0
50,3063,2412,0
51,6041,313,1
52,4128,2449,1
53,9049,165,0
54,11809,655,0
55,2861,1342,0
56,1661,2795,0
57,1557,3439,1
58,4249,2958,0
59,9884,2714,0
60,6381,776,1
61,5439,1619,0
62,3216,2172,1
63,6404,2978,1
64,8625,645,1
65,2744,2148,1
66,10892,2120,1
67,8697,3734,0
68,5705,3664,0
69,4852,3144,1
70,926,3240,0
71,5980,380,0
72,10554,25,1
73,4345,2088,0
74,6890,2287,0
75,1997,499,0
76,1794,546,1
77,9823,3136,1
78,11952,3188,1
79,6372,4018,0
80,4481,1601,1
81,9122,1761,1
82,11820,2855,1
83,11489,3224,1
84,6441,3618,1
85,8413,2128,1
86,4913,1979,1
87,7991,3896,1
88,7537,284,0
89,11310,2442,1
90,9086,1556,1
91,9764,1591,1
92,10368,1353,0
93,7889,4090,1
94,7250,2235,1
95,7306,1078,1
96,10126,1411,1
97,4275,3016,0
98,3690,4175,0
99,2279,2701,1
100,10115,3517,0
101,2854,2004,1
102,9490,573,0
103,3406,1023,0
104,9461,1895,0
105,11956,1356,1
106,9274,3732,1
107,1278,3169,0
108,11139,4152,1
109,4635,2411,0
110,4822,3670,0
111,8492,1249,0
112,10013,1984,0
113,8053,1660,0
114,405,1940,1
115,3005,1215,1
116,9757,2478,1
117,414,2249,1
118,2124,2863,0
119,9933,3812,1
120,2943,256,1
121,3985,4109,0
122,4657,3296,0
123,7446,1645,0
124,4749,1938,1
125,381,3856,1
126,2344,4025,0
127,1467,180,0
128,8414,2251,1
129,9546,1070,1
130,5325,83,1
131,7950,2835,1
132,5414,1624,0
133,1459,2470,0
134,9024,1746,1
135,4075,4124,0
136,2978,1191,1
137,5783,1254,1
138,6174,2707,1
139,10568,2378,0
140,3946,1088,0
141,10646,1470,0
142,1526,3647,1
143,6794,1292,1
144,6079,748,1
145,10311,4226,1
146,8468,2983,1
147,2172,3425,0
148,6828,241,0
149,11640,1884,1
150,3125,703,1
151,8320,4150,0
152,789,3013,0
153,7387,3336,0
154,5155,3355,0
155,11982,3978,1
156,8356,2053,1
157,4897,3341,0
158,726,2030,1
159,6233,28,0
160,1490,1959,0
161,481,4144,1
162,3506,2541,0
163,10370,2409,0
164,11953,1813,0
165,6867,2719,0
166,3540,892,0
167,3568,2700,1
168,2604,1366,1
169,10820,4021,1
170,8900,3989,0
171,10310,1071,0
172,1643,3858,1
173,1310,3802,1
174,3769,1754,0
175,3847,505,1
176,6151,1539,1
177,5805,930,0
178,9443,4206,0
179,548,2538,0
180,11819,746,1
181,5974,1213,1
182,7276,3188,1
183,3167,3442,0
184,4852,1526,0
185,5223,1667,0
186,981,213,0
187,1780,344,1
188,11947,1041,0
189,1192,4191,1
190,10590,888,0
191,3856,4011,1
192,7456,4038,1
193,9889,2047,0
194,11375,3930,0
195,84,4156,0
196,7577,3888,0
197,2499,3047,1
198,6847,2076,0
199,2317,1150,0
200,10589,3249,1
201,5903,2469,0
202,9263,2202,1
203,3999,2769,1
204,10100,170,0
205,281,4183,1
206,339,3934,0
207,5834,3237,1
208,11609,1844,0
209,2560,2950,1
210,7683,192,1
211,8420,3236,0
212,3887,1301,0
213,3037,672,0
214,9505,3733,0
215,4355,2322,0
216,6553,1460,0
217,544,963,0
218,4653,424,1
219,473,1190,1
220,432,4153,0
221,9245,1091,0
222,9357,4110,0
223,3181,995,0
224,10570,1635,1
225,9149,1527,1
226,3779,2396,1
227,4985,2368,1
228,3704,1864,1
229,2177,575,0
230,9399,2962,0
231,10740,112,0
232,2666,2706,1
233,4748,2870,1
